,B365H,B365D,B365A,FTR
1091,1.95,3.5,4.5,A
1094,3.5,3.25,2.3,H
1097,2.63,3.3,2.9,A
1098,2.05,3.3,4.2,A
1100,2.45,3.25,3.25,A
1101,2.38,3.4,3.25,D
1102,2.1,3.5,3.8,D
1103,1.91,3.5,4.75,D
1104,4.0,3.6,2.0,D
1105,2.4,3.3,3.3,D
1106,3.75,3.4,2.15,H
1107,4.33,3.4,2.0,H
1112,1.36,5.25,10.0,A
1113,4.2,3.4,2.05,H
1121,1.8,3.75,5.0,A
1122,1.95,3.5,4.5,A
1124,2.55,3.3,3.0,D
1126,2.1,3.5,3.8,D
1128,1.3,6.0,11.0,A
1129,2.7,3.3,2.88,D
1130,1.45,4.75,8.0,A
1131,3.1,3.5,2.4,H
1133,2.8,3.3,2.75,D
1135,2.9,3.4,2.6,A
1136,2.45,3.5,3.0,D
1138,4.1,3.5,2.0,H
1139,1.3,6.0,11.0,D
1141,2.1,3.6,3.75,A
1144,2.4,3.6,3.0,A
1145,3.2,3.75,2.25,D
1149,3.5,3.6,2.15,H
1150,2.0,3.6,4.0,A
1151,1.36,5.0,11.0,D
1152,1.7,3.9,5.5,D
1155,2.55,3.3,3.0,A
1156,1.29,6.0,12.0,A
1157,2.88,3.3,2.7,D
1161,1.95,3.6,4.33,A
1162,2.5,3.3,3.1,A
1164,1.8,3.75,5.0,D
1165,2.3,3.4,3.4,D
1166,2.25,3.5,3.4,A
1171,2.63,3.6,2.75,D
1172,1.36,5.25,10.0,D
1173,2.3,3.3,3.5,D
1174,4.0,3.4,2.1,D
1175,2.38,3.4,3.2,A
1177,2.8,3.3,2.75,D
1179,1.75,4.0,5.0,D
1180,1.91,3.5,4.75,D
1181,2.2,3.6,3.4,D
1182,1.36,5.0,11.0,A
1183,1.36,5.5,9.0,A
1186,1.95,3.4,4.5,A
1187,2.0,3.5,4.2,D
1189,3.6,3.3,2.25,H
1192,4.0,3.6,2.0,H
1196,3.2,3.2,2.5,D
1200,2.3,3.25,3.5,A
1203,1.29,6.5,11.0,A
1204,2.5,3.3,3.1,A
1205,2.5,3.4,3.0,D
1206,2.3,3.4,3.4,D
1207,1.67,4.0,5.75,D
1213,6.0,4.2,1.62,D
1216,4.2,3.8,1.91,H
1217,2.25,3.5,3.4,D
1218,2.5,3.3,3.1,A
1220,2.5,3.3,3.1,A
1221,2.1,3.5,3.8,D
1222,1.83,3.7,4.8,A
1225,2.3,3.5,3.3,A
1226,3.2,3.4,2.4,D
1228,2.7,3.4,2.8,D
1229,2.75,3.25,2.8,D
1231,2.0,3.6,4.0,A
1234,1.75,4.0,5.0,D
1235,2.5,3.5,3.0,D
1239,2.05,3.4,4.2,A
1243,2.0,3.5,4.2,A
1244,2.1,3.3,4.0,A
1245,4.0,3.8,1.95,H
1247,2.05,3.6,3.8,D
1248,2.6,3.5,2.8,D
1250,2.1,3.5,3.75,A
1251,3.8,3.5,2.1,D
1253,2.4,3.4,3.2,D
1256,2.9,3.4,2.6,A
1260,2.25,3.5,3.4,A
1264,3.8,3.6,2.05,H
1266,2.6,3.5,2.8,D
1267,1.73,4.0,5.0,D
1268,7.5,5.0,1.44,D
1269,1.67,3.8,6.0,A
1272,1.7,4.0,5.5,A
1273,2.88,3.6,2.5,A
1274,1.57,4.0,7.0,A
1275,1.91,3.6,4.5,D
1277,7.0,4.33,1.53,H
1279,1.57,4.0,7.0,A
1280,2.75,3.3,2.8,A
1281,2.9,3.6,2.5,D
1283,3.1,3.5,2.4,D
1285,3.2,3.3,2.45,H
1287,6.0,4.2,1.62,D
1288,2.6,3.4,2.9,D
1289,2.05,3.5,4.0,D
1291,1.36,5.25,9.5,A
1292,1.44,4.5,9.0,D
1293,1.5,4.5,7.5,D
1294,5.25,4.0,1.7,H
1295,2.7,3.4,2.75,A
1297,4.75,3.6,1.85,D
1298,5.75,4.33,1.62,H
1299,2.1,3.6,3.75,D
1300,3.4,3.4,2.3,H
1303,2.9,3.5,2.55,D
1304,2.9,3.3,2.63,A
1305,2.63,3.3,2.9,D
1307,1.4,4.75,10.0,D
1308,1.36,5.5,9.0,A
1309,3.2,3.5,2.35,H
1311,2.1,3.75,3.6,A
1312,1.45,4.5,8.5,A
1313,2.05,3.5,4.0,D
1314,2.7,3.4,2.8,A
1315,2.5,3.2,3.2,A
1316,2.55,3.3,3.0,A
1317,2.1,3.4,3.9,D
1318,4.2,3.6,1.95,H
1320,2.63,3.25,2.75,D
1321,2.4,3.3,3.0,D
1322,1.44,4.5,7.5,D
1326,3.6,3.5,2.05,H
1327,3.25,3.2,2.3,H
1331,2.1,3.4,4.0,D
1332,1.95,3.6,4.2,A
1333,2.6,3.3,3.0,D
1337,3.6,3.4,2.2,H
1338,4.33,4.0,1.85,D
1341,1.91,3.75,4.33,D
1343,3.2,3.4,2.4,H
1347,4.0,3.5,2.05,H
1349,2.8,3.5,2.63,D
1350,3.2,3.25,2.45,H
1351,2.0,3.6,4.0,A
1352,5.0,3.7,1.8,D
1353,1.44,4.5,9.0,D
1354,2.88,3.4,2.6,D
1355,1.53,4.75,6.0,D
1358,1.8,3.6,5.25,A
1359,1.75,3.8,5.25,A
1360,3.6,3.4,2.2,D
1362,1.83,3.75,4.75,D
1367,2.3,3.25,3.5,A
1368,4.33,3.6,1.95,D
1372,1.91,3.5,4.75,A
1374,3.0,3.4,2.5,D
1376,2.1,3.3,4.0,D
1377,5.0,4.0,1.73,D
1378,2.1,3.5,3.9,A
1379,1.73,3.8,5.5,A
1380,1.75,3.75,5.25,D
1381,2.45,3.3,3.2,A
1386,2.63,3.1,3.1,D
1389,4.33,3.5,1.95,D
1391,1.44,4.75,8.5,D
1392,1.62,4.2,6.0,A
1395,2.7,3.4,2.8,A
1396,2.25,3.3,3.6,D
1399,2.15,3.3,3.9,D
1400,2.05,3.4,4.1,A
1402,2.25,3.3,3.6,A
1403,1.53,4.2,7.5,A
1404,2.38,3.4,3.25,D
1405,5.25,3.75,1.75,H
1409,2.1,3.75,3.6,A
1411,2.8,3.25,2.5,A
1413,2.38,3.25,3.0,D
1417,3.0,3.25,2.38,H
1420,1.73,3.8,5.5,D
1422,2.5,3.3,3.1,D
1423,1.36,5.25,10.0,A
1427,4.0,3.6,2.0,H
1428,1.5,4.5,7.5,D
1429,1.73,4.0,5.0,A
1431,2.63,3.4,2.88,A
1432,1.6,4.0,6.5,D
1434,2.38,3.4,3.25,D
1437,4.33,3.4,2.0,H
1439,6.0,4.2,1.6,D
1440,2.7,3.2,2.9,A
1443,1.75,3.8,5.25,D
1445,2.7,3.5,2.7,A
1447,2.4,3.25,3.3,A
1448,2.25,3.3,3.6,A
1449,1.83,3.75,4.75,A
1450,2.1,3.5,3.8,D
1456,2.5,3.4,3.0,D
1458,2.2,3.4,3.6,D
1459,2.1,3.3,4.0,D
1460,1.95,3.6,4.2,D
1467,3.75,3.4,2.0,H
1468,3.4,3.3,2.15,D
1469,3.6,3.5,2.0,D
