Div,Date,HomeTeam,AwayTeam,B365H,B365D,B365A
E0,9/15/2018,Tottenham,Liverpool,3.1,3.6,2.37
E0,9/15/2018,Bournemouth,Leicester,2.45,3.5,3
E0,9/15/2018,Chelsea,Cardiff,1.16,8.5,21
E0,9/15/2018,Huddersfield,Crystal Palace,3.5,3.1,2.4
E0,9/15/2018,Man City,Fulham,1.1,12,29
E0,9/15/2018,Newcastle,Arsenal,4.33,3.9,1.85
E0,9/15/2018,Watford,Man United,4.33,3.6,1.95
E0,9/15/2018,Wolves,Burnley,1.75,3.6,5.75
E0,9/15/2018,Everton,West Ham,2,3.75,3.9
E0,9/15/2018,Southampton,Brighton,2.1,3.3,4
