FTR,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,,Date,Div,FTAG,FTHG,,GoalFirstHalf,GoalSecondHalf,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,IsTraining,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,SHAG,SHHG,VCA,VCD,VCH,WHA,WHD,WHH,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,away_home_1_team_corners_against,away_home_1_team_corners_for,away_home_1_team_goals_against,away_home_1_team_goals_for,away_home_1_team_possession,away_home_1_team_shotsoff_against,away_home_1_team_shotsoff_for,away_home_1_team_shotson_against,away_home_1_team_shotson_for,away_home_3_team_corners_against,away_home_3_team_corners_for,away_home_3_team_goals_against,away_home_3_team_goals_for,away_home_3_team_possession,away_home_3_team_shotsoff_against,away_home_3_team_shotsoff_for,away_home_3_team_shotson_against,away_home_3_team_shotson_for,away_home_6_team_corners_against,away_home_6_team_corners_for,away_home_6_team_goals_against,away_home_6_team_goals_for,away_home_6_team_possession,away_home_6_team_shotsoff_against,away_home_6_team_shotsoff_for,away_home_6_team_shotson_against,away_home_6_team_shotson_for,home_away_1_team_corners_against,home_away_1_team_corners_for,home_away_1_team_goals_against,home_away_1_team_goals_for,home_away_1_team_possession,home_away_1_team_shotsoff_against,home_away_1_team_shotsoff_for,home_away_1_team_shotson_against,home_away_1_team_shotson_for,home_away_3_team_corners_against,home_away_3_team_corners_for,home_away_3_team_goals_against,home_away_3_team_goals_for,home_away_3_team_possession,home_away_3_team_shotsoff_against,home_away_3_team_shotsoff_for,home_away_3_team_shotson_against,home_away_3_team_shotson_for,home_away_6_team_corners_against,home_away_6_team_corners_for,home_away_6_team_goals_against,home_away_6_team_goals_for,home_away_6_team_possession,home_away_6_team_shotsoff_against,home_away_6_team_shotsoff_for,home_away_6_team_shotson_against,home_away_6_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for
A,10,0,9,2,2,Man United,1.73,3.8,5.5,1.75,3.75,5,42,26,0.75,1.71,2.11,1.71,1.91,1.95,3.67,5.37,1.79,2.19,1.76,1.96,2.01,4,6,40,,8/14/2015,E0,1,0,,TRUE,FALSE,3,14,0,5,1,1,0,A,2,Aston Villa,1.67,3.6,5,TRUE,1.73,3.6,5.5,1.72,1.8,3.76,5.06,3.83,5.66,M Dean,0,0,1.75,3.8,5.5,1.75,3.6,5.5,1,8,0,2,62,3,5,4,8,14,22,2,6,190.5,12,10,23,18,25,31,6,8,388,27,19,36,26,11,13,2,4,140.75,7,11,13,14,2,1,1,0,49.5,2,4,6,6,10,15,2,3,188.25,7,17,13,28,19,30,5,13,371.25,14,30,21,44,3,6,1,0,43,2,8,4,5,12,19,4,9,160.5,12,13,12,20,25,40,10,12,288.5,25,38,22,37,11,13,2,4,59.25,7,11,13,14,2,7,1,0,61,2,10,4,7,11,14,3,4,178.25,8,21,11,16,26,25,8,9,340.5,12,40,24,39
A,10,0,10,4,2,Everton,4.33,3.6,1.95,4.1,3.5,1.95,45,28,-0.5,1.68,2.16,4.09,1.93,1.92,3.45,1.95,1.76,2.23,4.5,1.99,1.98,3.68,2.1,43,,8/15/2015,E0,3,0,,TRUE,TRUE,9,11,0,17,4,2,0,A,4,Southampton,3.4,3.2,2.1,TRUE,4.33,3.3,2,4.21,4.08,3.54,2.03,3.6,1.98,M Oliver,1,0,4.33,3.5,2,4,3.25,2,8,7,2,1,57,9,5,8,7,17,15,5,5,148.5,14,14,20,13,35,29,7,10,313.5,21,37,35,28,16,8,1,3,100.25,12,12,12,8,3,8,2,2,67.25,3,5,6,4,9,26,5,2,181.5,11,23,20,21,32,42,5,8,328,26,35,42,41,6,6,2,2,43.25,8,3,5,4,18,18,2,6,155.25,19,15,18,14,34,25,4,11,313.75,32,32,34,29,16,8,1,3,99.75,12,12,12,8,3,6,1,6,37,4,3,4,9,11,16,3,10,127.5,14,11,15,18,19,42,6,12,315,25,34,29,46
A,7,0,19,6,2,Norwich,3.1,3.3,2.5,3.2,3.1,2.5,45,27,0,1.63,2.26,3.01,2.12,1.75,3.2,2.47,1.69,2.37,3.2,2.18,1.8,3.4,2.6,43,,8/15/2015,E0,3,1,,TRUE,TRUE,6,7,0,6,2,2,0,A,1,Sunderland,2.9,3.3,2.3,TRUE,3.1,3.3,2.4,3.08,2.66,3.39,2.86,3.35,2.52,K Friend,1,1,3.13,3.2,2.55,3,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,2,66.5,1,8,6,7,4,1,3,2,66.5,1,8,6,7,4,1,3,2,66.5,1,8,6,7,3,6,2,4,55.5,4,9,5,8,8,22,3,7,120.5,13,26,18,37,21,52,6,9,222.75,28,47,32,73,,,,,,,,,,9,8,0,0,54.5,5,4,4,7,14,16,5,3,151.75,10,14,15,16,25,37,9,5,313.5,21,34,26,36
H,8,1,4,2,1,Newcastle,4.33,3.6,1.95,3.7,3.5,1.95,45,28,-0.5,1.86,1.94,4.11,1.94,1.91,3.51,1.92,1.96,2.01,4.33,2,1.95,3.7,2.01,44,,8/15/2015,E0,0,2,,TRUE,TRUE,4,11,0,19,6,0,1,H,2,Swansea,3.8,3.45,1.9,TRUE,4.2,3.5,1.95,4.3,4.49,3.86,1.85,3.66,1.94,M Jones,0,1,4.33,3.6,1.95,4.33,3.2,1.95,12,3,1,2,52.75,6,3,17,3,25,19,1,7,149.25,20,17,26,19,36,37,1,16,276,35,33,40,42,7,12,5,4,86.89285714,7,9,6,5,6,6,2,2,56.75,8,3,5,4,11,15,3,5,159.25,14,22,9,13,24,37,11,9,289.25,24,36,22,29,8,4,4,1,46.25,2,4,13,7,12,17,5,2,123.5,6,11,20,36,30,36,9,6,285.5,15,31,38,49,7,12,5,4,113.1071429,7,9,6,5,7,11,4,2,51.5,6,3,11,7,15,20,5,5,150,11,14,23,15,37,32,8,10,306.5,30,23,40,31
D,11,0,16,7,2,Stoke,5,3.75,1.8,4.1,3.7,1.8,45,27,-0.75,1.87,1.93,4.8,1.88,1.97,3.66,1.77,1.94,2,5.1,1.93,2.03,3.93,1.84,44,,8/15/2015,E0,2,2,,TRUE,TRUE,4,15,0,13,7,0,2,H,2,Tottenham,4.7,3.6,1.7,TRUE,4.75,3.75,1.8,5.09,5.55,3.76,1.74,3.75,1.79,R Madley,2,0,5,3.7,1.8,5,3.3,1.8,6,7,0,0,56.5,5,1,5,6,18,17,1,3,174,17,11,19,18,26,44,4,8,311.75,25,21,31,40,13,11,3,3,87,9,10,11,17,5,3,1,0,48,3,2,8,5,22,12,3,8,138.25,12,9,22,21,39,31,7,12,312.5,28,33,39,45,2,1,1,0,50.5,2,4,6,6,15,10,3,2,164.25,9,16,22,20,24,27,8,5,350.5,23,29,37,40,13,11,3,3,113,9,10,11,17,8,6,0,2,58,8,7,4,2,21,23,2,2,171,20,25,16,17,38,40,10,12,366.75,30,45,29,40
D,10,0,6,0,2,West Brom,3.4,3.4,2.3,3.1,3.2,2.3,45,27,-0.25,1.71,2.12,3.33,1.94,1.91,3.3,2.25,1.78,2.22,3.54,2.01,1.96,3.51,2.4,43,,8/15/2015,E0,0,0,,FALSE,FALSE,2,13,0,16,5,0,0,D,1,Watford,2.85,3.2,2.4,TRUE,3.2,3.4,2.3,3.54,3.76,3.62,2.09,3.41,2.25,P Tierney,0,0,3.5,3.3,2.3,3.2,3.2,2.3,3,7,1,4,34.5,8,8,7,11,8,23,3,6,93.5,14,24,13,31,19,39,6,11,190.75,19,60,16,64,,,,,,,,,,6,6,3,0,28.25,3,5,11,5,14,11,3,3,89,18,12,31,12,29,24,10,8,238.1666667,28,25,44,32,3,8,2,2,32.75,3,5,6,4,3,8,2,2,32.75,3,5,6,4,3,8,2,2,32.75,3,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,12,0,11,6,3,Leicester,3.4,3.5,2.25,3.5,3.2,2.25,45,27,-0.25,1.9,1.9,3.27,1.93,1.92,3.36,2.25,2,1.97,3.5,1.99,1.98,3.52,2.35,44,,8/15/2015,E0,2,1,,TRUE,TRUE,8,11,1,10,3,2,0,A,1,West Ham,3.1,3.3,2.2,TRUE,3.3,3.4,2.25,3.42,3.15,3.54,2.38,3.52,2.25,A Taylor,0,1,3.4,3.5,2.25,3.2,3.2,2.3,9,8,0,0,45.5,5,4,4,7,19,18,4,3,145.5833333,11,6,12,22,33,36,11,10,241.5833333,26,27,26,42,10,16,1,5,101.25,9,12,16,10,3,6,2,4,44.5,4,9,5,8,17,15,3,11,117.5,17,22,16,14,33,33,6,17,251,34,46,33,28,4,5,2,0,41.25,2,8,5,15,13,9,2,3,140.5,8,25,9,25,28,28,4,9,271.75,23,48,27,51,10,16,1,5,98.75,9,12,16,10,8,7,2,1,43,9,5,8,7,21,24,3,3,138,22,18,22,28,36,46,7,5,297.75,32,38,37,53
A,12,0,20,7,1,Arsenal,1.73,3.9,5.25,1.75,3.75,5,45,27,0.75,1.96,1.84,1.71,1.91,1.95,3.78,5,2.03,1.9,1.8,1.95,2.01,4.2,5.5,44,,8/16/2015,E0,2,1,,TRUE,TRUE,6,14,0,11,4,1,1,D,1,Crystal Palace,1.7,3.6,4.7,TRUE,1.75,3.75,5,1.72,1.69,4.08,5.4,3.97,5.34,L Mason,1,0,1.75,3.8,5.2,1.75,3.5,5,5,5,0,2,39.75,2,6,4,7,16,6,4,3,175.75,18,12,26,15,27,26,10,6,337.5,29,29,47,40,4,19,3,3,126.75,3,12,10,16,4,5,2,0,58.75,2,8,5,15,9,17,3,4,194.75,13,26,16,43,17,35,5,8,376,26,43,28,73,4,1,3,2,33.5,1,8,6,7,15,8,7,5,105.75,11,24,15,23,30,34,16,8,235.25,21,49,30,37,4,19,3,3,73.25,3,12,10,16,3,7,0,1,53,1,2,3,9,18,14,4,3,131.75,17,10,17,18,40,31,8,8,275.5,36,29,33,27
H,13,0,10,3,2,Chelsea,3.75,3.5,2.1,3.7,3.4,2.1,43,28,-0.5,1.82,1.98,3.66,1.81,2.06,3.4,2.09,1.88,2.05,3.9,1.87,2.12,3.56,2.17,42,,8/16/2015,E0,0,3,,TRUE,TRUE,5,19,0,18,8,0,1,H,4,Man City,3.3,3.3,2.1,TRUE,3.75,3.4,2.1,3.87,3.97,3.69,2.01,3.56,2.08,M Atkinson,0,2,3.9,3.5,2.1,3.6,3.2,2.15,4,3,0,3,61,5,3,7,3,12,11,3,4,161.75,14,14,16,9,28,27,8,6,337.25,23,32,30,40,10,15,2,2,84.25,7,10,7,7,8,4,4,1,53.75,2,4,13,7,15,21,6,5,172.5,18,14,27,23,28,36,7,10,327.25,33,31,38,46,6,6,3,0,71.75,3,5,11,5,20,25,8,2,166,14,15,31,22,44,32,11,9,353.5,39,22,57,31,10,15,2,2,115.75,7,10,7,7,4,8,0,2,58.75,6,8,8,7,14,22,3,11,166.75,17,16,16,22,22,47,4,17,384,25,46,27,66
H,18,0,13,2,4,Bournemouth,8,4.75,1.45,7.25,4.75,1.48,43,25,-1,2.05,1.75,7.71,2.17,1.72,4.46,1.44,2.2,1.83,8.6,2.26,1.76,5,1.5,42,,8/17/2015,E0,0,1,,TRUE,FALSE,6,11,0,18,2,0,1,H,1,Liverpool,7.3,4.4,1.4,TRUE,7.5,4.5,1.45,8.6,7.07,4.37,1.54,4.74,1.44,C Pawson,0,0,8.5,4.75,1.45,6.5,4.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,0,57,2,8,4,5,3,6,1,0,57,2,8,4,5,3,6,1,0,57,2,8,4,5,5,3,1,0,52,3,2,8,5,18,12,3,7,154,19,9,21,14,34,27,4,12,344.25,37,21,50,29,,,,,,,,,,5,4,4,1,64.75,7,8,5,8,17,19,5,6,188.3333333,20,23,12,27,25,30,9,11,337.0833333,31,37,19,43
